day,median
2017-08-02,88.28571428571429
2017-08-03,69.95000000000002
2017-08-04,22.13231556403697
2017-08-05,14.438502673796789
2017-08-06,45.45454545454546
2017-08-07,46.16497829232998
2017-08-08,22.900229002290025
2017-08-09,2.5037187035161947
2017-08-10,21.945270962392094
2017-08-11,82.91466478062581
2017-08-12,9.749405524053415
2017-08-13,0.0
2017-08-14,95.11005426498386
2017-08-15,0.0
2017-08-16,37.809428578396705
2017-08-17,166.62222962839525
2017-08-18,67.21078431372548
2017-08-19,110.40361090513935
2017-08-20,50.850981118104414
2017-08-21,42.63018534863194
2017-08-22,60.65287625758839
2017-08-23,34.093478345612596
2017-08-24,26.821029082774032
2017-08-25,29.562875038325082
2017-08-26,35.44217687074831
2017-08-27,22.74904214559388
2017-08-28,19.15529760558781
2017-08-29,29.534380075798605
2017-08-30,26.131322094055022
2017-08-31,20.714729601348598
2017-09-01,29.169139465875382
2017-09-02,28.744065602071643
2017-09-03,30.68238419392329
2017-09-04,39.85122210414453
2017-09-05,22.12808182581484
2017-09-06,22.134613623179554
2017-09-07,17.49375000000001
2017-09-08,20.833333333333336
2017-09-09,10.999999999999996
2017-09-10,10.0
2017-09-11,22.289636270186357
2017-09-12,15.558602342855883
2017-09-13,11.27722830850131
2017-09-14,13.016229598386218
2017-09-15,25.791704547456362
2017-09-16,20.027932726410395
2017-09-17,8.014107566272315
2017-09-18,14.238743279569892
2017-09-19,19.714474266763567
2017-09-20,12.361894460326043
2017-09-21,14.446227929374
2017-09-22,12.157809983896946
2017-09-23,12.615384615384622
2017-09-24,2.831715210355977
2017-09-25,14.158582538282694
2017-09-26,14.905833716123118
2017-09-27,24.463768746976303
2017-09-28,28.19777110015462
2017-09-29,18.05923778716398
2017-09-30,23.14604117313403
2017-10-01,18.09460910611296
2017-10-02,19.991518728295723
2017-10-03,25.859387973308806
2017-10-04,27.218994439418932
2017-10-05,20.967575382073516
2017-10-06,16.493023822579662
2017-10-07,17.781880690138145
2017-10-08,18.992676523421316
2017-10-09,18.38341331946382
2017-10-10,23.778711484593842
2017-10-11,16.27764127764128
2017-10-12,22.131889803392838
2017-10-13,30.480317407019317
2017-10-14,21.720128940635462
2017-10-15,17.368635891795776
2017-10-16,17.88281964514358
2017-10-17,15.307939428992063
2017-10-18,14.773666352351961
2017-10-19,14.473127380448576
2017-10-20,15.121208827046415
2017-10-21,16.541806020066883
2017-10-22,13.384235346957105
2017-10-23,13.43645052656811
2017-10-24,14.813943457632428
2017-10-25,14.110002320724066
2017-10-26,11.837596483333908
2017-10-27,10.131632953942319
2017-10-28,10.86388322280826
2017-10-29,14.395915519053002
2017-10-30,13.43405124604389
2017-10-31,14.961697376513175
2017-11-01,18.647166361974396
2017-11-02,19.06367874744147
2017-11-03,16.95422144597204
2017-11-04,12.275212277139826
2017-11-05,14.05503635162805
2017-11-06,14.363356437612342
2017-11-07,18.453865336658342
2017-11-08,24.081551136932774
2017-11-09,17.40647946991912
2017-11-10,20.424983978490452
2017-11-11,19.138789051700297
2017-11-12,23.12380952380953
2017-11-13,17.870647669177487
2017-11-14,14.784053156146188
2017-11-15,14.668478260869572
2017-11-16,18.475853396837415
2017-11-17,18.973867655014402
2017-11-18,17.657237070461644
2017-11-19,16.03387690859981
2017-11-20,16.040581299698385
2017-11-21,13.641281564411116
2017-11-22,19.197074083524704
2017-11-23,20.732245258050284
2017-11-24,18.710979994454377
2017-11-25,14.693566990242712
2017-11-26,19.157075665658617
2017-11-27,17.738831962140594
2017-11-28,18.681715597561222
2017-11-29,21.448863636363637
2017-11-30,20.64794816414686
2017-12-01,13.770854798831326
2017-12-02,13.74461881333684
2017-12-03,17.69196915818062
2017-12-04,16.726307204793194
2017-12-05,17.232465965879708
2017-12-06,22.872003044526203
2017-12-07,29.5926383121984
2017-12-08,31.922936227289362
2017-12-09,19.892857142857146
2017-12-10,15.431999526158585
2017-12-11,17.250509164969447
2017-12-12,28.000988066315372
2017-12-13,25.62327055072066
2017-12-14,33.50023597096752
2017-12-15,25.761624799572424
2017-12-16,26.265151515151498
2017-12-17,34.72403302911778
2017-12-18,29.912723185091185
2017-12-19,27.987676083297643
2017-12-20,24.303236215256405
2017-12-21,23.509057013239698
2017-12-22,23.273837588858267
2017-12-23,21.67927055966993
2017-12-24,22.575908629458738
2017-12-25,26.931366606048357
2017-12-26,28.888125107406776
2017-12-27,28.016129032258064
2017-12-28,19.993350787516114
2017-12-29,20.914300702969257
2017-12-30,17.503610446743366
2017-12-31,21.5133513184962
2018-01-01,17.99040597809597
2018-01-02,24.90678339731621
2018-01-03,22.40000651094652
2018-01-04,28.13453953588892
2018-01-05,47.34917883784726
2018-01-06,40.26689178077686
2018-01-07,32.0459543463876
2018-01-08,25.77559575353633
2018-01-09,25.717288229970535
2018-01-10,26.85548780487805
2018-01-11,28.15101986871668
2018-01-12,22.925839592506254
2018-01-13,22.474907889721774
2018-01-14,18.536585365853657
2018-01-15,23.709369024856606
2018-01-16,38.78316805146072
2018-01-17,26.602922465975233
2018-01-18,17.95266410166724
2018-01-19,16.974653755642155
2018-01-20,18.21449970041941
2018-01-21,15.317991631799169
2018-01-22,13.267251239039272
2018-01-23,12.778213489127845
2018-01-24,12.760623380559682
2018-01-25,11.5664212512932
2018-01-26,12.99083405400587
2018-01-27,11.195023998127947
2018-01-28,14.08260296317142
2018-01-29,9.728984800566217
2018-01-30,13.119133000909034
2018-01-31,11.857755241296466
2018-02-01,19.52253609831029
2018-02-02,19.2106435092407
2018-02-03,14.116493750510568
2018-02-04,11.06582894662366
